,Unnamed: 0,timestamp,left,rigth,depth,height,id,true_height,left_input,right_input,left_rectified,right_rectified,error
17,17,2023-07-25 16:50:32.760626,[0.35371104 0.51092398];[0.43843856 0.51010418];[0.39546208 0.58618483];[0.39464951 0.55801439],[0.46507025 0.47883874];[0.54828256 0.47735134];[0.50985348 0.55303195];[0.50950176 0.52377683],194.07897203368347,169.76251949744972,3,168.0,input/2023-07-25__16:50:32.760626.2.input.png,input/2023-07-25__16:50:32.760626.0.input.png,rectified/2023-07-25__16:50:32.760626.left.rectified.png,rectified/2023-07-25__16:50:32.760626.right.rectified.png,1.7625194974497163
57,57,2023-07-25 16:51:19.837624,[0.38644871 0.51233351];[0.4944129  0.49769554];[0.44694503 0.60091963];[0.44268617 0.56318521],[0.53765345 0.47825763];[0.64166766 0.46337479];[0.6011093  0.56684867];[0.59780526 0.52888262],143.9185245828525,169.80683019170493,3,168.0,input/2023-07-25__16:51:19.837624.2.input.png,input/2023-07-25__16:51:19.837624.0.input.png,rectified/2023-07-25__16:51:19.837624.left.rectified.png,rectified/2023-07-25__16:51:19.837624.right.rectified.png,1.8068301917049325
2,2,2023-07-25 16:50:17.582098,[0.43423235 0.51270056];[0.52260464 0.50523436];[0.4822965  0.58446315];[0.48157313 0.55472821],[0.55002701 0.47845283];[0.6357016  0.47025293];[0.60000387 0.55070645];[0.60013855 0.52079535],187.8777909415465,169.8897081765788,3,168.0,input/2023-07-25__16:50:17.582098.2.input.png,input/2023-07-25__16:50:17.582098.0.input.png,rectified/2023-07-25__16:50:17.582098.left.rectified.png,rectified/2023-07-25__16:50:17.582098.right.rectified.png,1.8897081765788073
50,50,2023-07-25 16:51:11.542902,[0.52162737 0.51159704];[0.5959534  0.50998729];[0.55683127 0.57665107];[0.55675524 0.55159545],[0.62260503 0.47871748];[0.69634926 0.47460437];[0.6605854  0.54274791];[0.66047537 0.5174523 ],213.7487992028876,169.9036123287351,3,168.0,input/2023-07-25__16:51:11.542902.2.input.png,input/2023-07-25__16:51:11.542902.0.input.png,rectified/2023-07-25__16:51:11.542902.left.rectified.png,rectified/2023-07-25__16:51:11.542902.right.rectified.png,1.9036123287351074
60,60,2023-07-25 16:51:23.356177,[0.50681388 0.51564574];[0.58207428 0.50656831];[0.5517675  0.57597655];[0.55057883 0.54980212],[0.60409737 0.48189157];[0.67588633 0.47259068];[0.64957717 0.54319763];[0.64920747 0.51877868],225.3886843180269,169.96245867620166,3,168.0,input/2023-07-25__16:51:23.356177.2.input.png,input/2023-07-25__16:51:23.356177.0.input.png,rectified/2023-07-25__16:51:23.356177.left.rectified.png,rectified/2023-07-25__16:51:23.356177.right.rectified.png,1.9624586762016634
21,21,2023-07-25 16:50:37.075455,[0.42064637 0.50547075];[0.52398473 0.50213641];[0.47696449 0.58784834];[0.47522888 0.55265439],[0.56017345 0.47076538];[0.6589368  0.46585146];[0.61711937 0.55494109];[0.61799139 0.52120537],156.44962706926196,170.08379480862104,3,168.0,input/2023-07-25__16:50:37.075455.2.input.png,input/2023-07-25__16:50:37.075455.0.input.png,rectified/2023-07-25__16:50:37.075455.left.rectified.png,rectified/2023-07-25__16:50:37.075455.right.rectified.png,2.083794808621036
31,31,2023-07-25 16:50:49.124824,[0.19141163 0.50099486];[0.30871224 0.49993604];[0.24850983 0.60148031];[0.24743351 0.56192327],[0.35136276 0.46894062];[0.46395662 0.46545094];[0.41343763 0.56818944];[0.41203606 0.52875489],135.4945745193709,170.09032421617988,3,168.0,input/2023-07-25__16:50:49.124824.2.input.png,input/2023-07-25__16:50:49.124824.0.input.png,rectified/2023-07-25__16:50:49.124824.left.rectified.png,rectified/2023-07-25__16:50:49.124824.right.rectified.png,2.09032421617988
12,12,2023-07-25 16:50:27.745469,[0.5182687  0.51081973];[0.59204704 0.50762063];[0.55919871 0.57673097];[0.5586217  0.54958838],[0.61808228 0.47831005];[0.6915791  0.47491303];[0.6615577  0.54406258];[0.66352701 0.5189299 ],214.5604640840333,170.12384337573874,3,168.0,input/2023-07-25__16:50:27.745469.2.input.png,input/2023-07-25__16:50:27.745469.0.input.png,rectified/2023-07-25__16:50:27.745469.left.rectified.png,rectified/2023-07-25__16:50:27.745469.right.rectified.png,2.123843375738744
20,20,2023-07-25 16:50:35.854990,[0.50328255 0.50374031];[0.59346348 0.50376511];[0.54922235 0.5854817 ];[0.54764521 0.55341172],[0.6238364  0.46917242];[0.71472496 0.46804747];[0.67325041 0.551043  ];[0.67507005 0.52034217],176.71023741205042,170.35932852329321,3,168.0,input/2023-07-25__16:50:35.854990.2.input.png,input/2023-07-25__16:50:35.854990.0.input.png,rectified/2023-07-25__16:50:35.854990.left.rectified.png,rectified/2023-07-25__16:50:35.854990.right.rectified.png,2.3593285232932146
45,45,2023-07-25 16:51:05.646484,[0.20996816 0.50566989];[0.30188099 0.5024091 ];[0.25626554 0.58306563];[0.25403196 0.54996508],[0.33083686 0.4736847 ];[0.42043999 0.46995801];[0.3794214  0.55123788];[0.3779411  0.51912093],179.61984841032378,170.36564454897714,3,168.0,input/2023-07-25__16:51:05.646484.2.input.png,input/2023-07-25__16:51:05.646484.0.input.png,rectified/2023-07-25__16:51:05.646484.left.rectified.png,rectified/2023-07-25__16:51:05.646484.right.rectified.png,2.3656445489771443
